pdb_id;bmrb_id
1A2I;5625
1A3P;4201
1A5J;4114
1A5J;5517
1AXH;5702
1AXH;6192
1AXH;6194
1AYG;5086
1AZP;5905
1AZP;5908
1AZQ;5905
1AZQ;5908
1B1V;4292
1B2I;4276
1B2T;4397
1B3I;4414
1B4C;5544
1B4G;4476
1B4I;4477
1B4O;4570
1B6F;4417
1B75;4395
1BA5;4210
1BA9;4202
1BBG;4211
1BCI;4188
1BD6;4268
1BFY;4182
1BH1;4194
1BHI;4216
1BHU;4217
1BIG;4190
1BJX;4156
1BKU;4219
1BLQ;4401
1BLR;4186
1BM4;4221
1BM6;4173
1BMX;4220
1BNZ;5909
1BNZ;5910
1BO0;4177
1BQ0;4228
1BQX;4229
1BQZ;4227
1BTA;5293
1BUQ;4230
1BV2;4917
1BWE;4231
1BYV;4260
1BZB;4261
1BZF;4262
1C05;4577
1C15;4661
1C3T;4663
1C49;4760
1C8C;5909
1C8C;5910
1CB3;4483
1CB9;4419
1CCQ;4418
1CCV;4422
1CE3;4487
1CEJ;4437
1CF4;4700
1CI5;4455
1CIX;5268
1CKV;4431
1CKW;4595
1CKX;4596
1CKY;4597
1CKZ;4598
1CN2;4218
1CNL;4399
1CNN;4500
1COU;4396
1CR8;4475
1CWX;4669
1CX1;4706
1CXR;4509
1CXW;4510
1D1E;5215
1D1F;5216
1D1O;4581
1D2L;4514
1D3Z;5387
1D4B;4574
1D5G;4516
1D7Q;4519
1D8B;4445
1D8J;4721
1D9S;4701
1DAQ;4524
1DC7;4527
1DC8;4528
1DF6;4461
1DGQ;4553
1DKC;4615
1DLZ;4601
1DO9;4602
1DP3;4584
1DT7;5544
1DU9;4585
1DUJ;4775
1DV0;4757
1DV5;4603
1DX7;4616
1E0E;4619
1E52;4622
1E5C;4623
1E74;4845
1E75;4846
1E76;4847
1E8E;4837
1E8P;3322
1E8Q;3322
1E91;4841
1E9T;5771
1ED0;4587
1EDS;4655
1EDV;4654
1EDW;4653
1EDX;4652
1EE7;4604
1EHJ;4743
1EHX;4589
1EIG;4590
1EIH;4590
1EII;4682
1EJP;4591
1EJQ;4592
1EOQ;4593
1EOT;4155
1EXK;4677
1EYF;4925
1EZY;4386
1F2H;4636
1F3C;4912
1F3Y;4448
1F43;4637
1F6U;4781
1F7W;4717
1F7X;4717
1F8P;4862
1F96;4911
1FA3;4638
1FCL;5152
1FD6;5151
1FDF;4651
1FEX;4639
1FFJ;4815
1FI3;4960
1FJN;4640
1FJP;4907
1FLS;4679
1FM1;4679
1FOV;4850
1FPW;4798
1FQQ;4642
1FRY;4643
1FU9;4939
1FUW;4633
1FV5;4644
1FVN;4862
1FWO;4645
1FZT;4648
1G03;4649
1G03;5334
1G04;4650
1G25;4890
1G26;4656
1G47;4884
1G6E;4833
1G6J;5387
1G6M;4891
1G6P;4895
1G8C;4552
1G92;4921
1G9E;4628
1G9L;4915
1G9P;4923
1GEA;4916
1GH9;4740
1GHT;4269
1GIW;4189
1GJZ;5101
1GK5;5120
1GM0;6313
1GM1;5131
1GM1;6060
1GM1;6091
1GM1;6092
1GO0;5485
1GO5;5364
1H0Z;5551
1H3Z;5538
1H67;4880
1H6Q;4447
1H7Y;4447
1H95;4147
1H9F;5043
1HA8;4979
1HA9;5176
1HBW;5180
1HDL;4910
1HEH;4900
1HEJ;4900
1HEV;6123
1HF9;4906
1HFG;4914
1HFN;4914
1HJ0;5257
1HKO;5745
1HOY;4948
1HP2;4924
1HU5;5037
1HU6;5034
1HU7;5034
1HX7;4269
1HZE;4954
1HZK;4946
1HZL;4947
1I02;4966
1I11;5036
1I18;4954
1I1S;4957
1I25;4988
1I2U;5033
1I2V;5033
1I4V;5022
1I5T;5026
1I6Y;5201
1IB9;5028
1IBI;5065
1ICH;5018
1IDH;5025
1IDL;5024
1IE5;5044
1IFW;5053
1IH0;4994
1IH9;4993
1IHQ;4995
1IIO;4996
1IJA;4879
1IJC;5097
1IK0;5004
1ILO;4991
1ILY;4688
1IM1;4420
1IMO;5041
1IMU;5055
1IN1;5041
1INZ;4959
1IQO;5129
1IQS;5129
1IRR;5188
1IRZ;5174
1IT1;5333
1ITY;5317
1IUR;10119
1IVM;4751
1IW4;5348
1IX5;4668
1IY3;5142
1IY4;5130
1IY5;5469
1IY6;5470
1IYC;5491
1IYF;5500
1IYM;5459
1J0F;10097
1J0T;5633
1J0T;5653
1J26;10121
1J2O;5100
1J3T;10122
1J56;5303
1J57;5261
1J5J;5184
1J7M;5012
1J8I;5042
1J8K;5027
1J8N;5111
1J8Z;5110
1J9I;4752
1J9O;5042
1J9V;5109
1JAA;5108
1JAJ;5010
1JAR;5140
1JAS;5038
1JBA;4492
1JBD;5006
1JBH;5048
1JBH;5319
1JBI;5047
1JBJ;5072
1JC6;5050
1JC8;5139
1JCP;5138
1JCU;5051
1JD8;5137
1JDK;5136
1JDQ;5060
1JE3;5059
1JE4;5073
1JE9;5052
1JE9;5690
1JEI;5074
1JEX;5091
1JFJ;4271
1JFK;4271
1JFN;5075
1JGK;4391
1JGN;5085
